Company Name,Clean Company Name,Extensions,Position,"Error (1/0) 1 = yes, 0 = no",,,
MetTel,MetTel,,,,,,
"Wireless Section, LLC",Wireless Section,", LLC",,,,,
First Orion,First Orion,,,,,,
Novus Capital Corporation,Novus Capital,Corporation,end,,,,
ComVest Corporation,ComVest,,,,,,
Optimize Communications Services,Optimize Communications Services,,,,,,
Morning Builder Technologies,Morning Builder Technologies,,,,,,
Monster VoIP,Monster VoIP,,,,,,
XICOMM,XICOMM,,,,,,
yula.la,,,,,,,
FutureEd Solutions,FutureEd Solutions,,,,,,
Aurora Insight Inc.,Aurora Insight Inc.,,,,,,
Whoop Wireless,Whoop Wireless,,,,,,
"GA Technical Services, Inc","GA Technical Services, Inc",,,,,,
BrokerBin Pro,BrokerBin Pro,,,,,,
Granite Telecommunications,Granite Telecommunications,,,,,,
Shorely LLC,Shorely LLC,,,,,,
Zone Reach,Zone Reach,,,,,,
Digital Direction,Digital Direction,,,,,,
"Women in Cable Telecommunications, Inc.","Women in Cable Telecommunications, Inc.",,,,,,
Lead nation,,,,,,,
Capcon Networks,,,,,,,
Berkshire Hathaway HomeServices Georgia Properties,,,,,,,
Jett Enterprises,,,,,,,
Auditel Expense Management Pvt. Ltd.,,,,,,,
Prepay Nation,,,,,,,
100Solutions,,,,,,,
"Bridge Communications, Inc.",,,,,,,
Ferm Marketing Solutions,,,,,,,
Telephone Town Hall Meeting Inc.,,,,,,,
Wireless Devices Reviews,,,,,,,
Xpress Retail Ltd,,,,,,,
Clients Choice Marketing Group,,,,,,,
"Syndeo Networks, Inc.",,,,,,,
"ComAudit Services, Inc.",,,,,,,
ONYX Telecom,,,,,,,
Clear Creek Power LLC,,,,,,,
InRange Solutions,,,,,,,
Tagliamonte Consulting Group,,,,,,,
Hitron-Americas,,,,,,,
Lightyear,,,,,,,
Complete Wiring  Concepts,,,,,,,
"Zeepabyte, Inc.",,,,,,,
GM Voices + Animal Rescue + Life Lessons Over Lunch Leader,,,,,,,
YUNATel,,,,,,,
Cloud9 VoIP,,,,,,,
AQUABLUE,,,,,,,
"TeleFix Technologies LLC & TeleFix Communications Holdings, Inc. ",,,,,,,
Icomera AB,,,,,,,
Mobile Bigfoot,,,,,,,
Blue Vision Technologies,,,,,,,
NuWave Technology Partners,,,,,,,
Telapprise,,,,,,,
PBix LLC,,,,,,,
Bammai Inc,,,,,,,
Swing Strategy Consulting,,,,,,,
Airwavz Solutions Inc.,,,,,,,
EZmoms,,,,,,,
Gen Mobile,,,,,,,
Blackbox,,,,,,,
Telesource GmbH,,,,,,,
Edge Networks Inc.,,,,,,,
Skynet Healthcare Technologies Inc.,,,,,,,
Howe Consulting,,,,,,,
Fast Systems,,,,,,,
Xela Communications,,,,,,,
First Orion,,,,,,,
Adcomm Technologies LLC.,,,,,,,
Accepted To School,,,,,,,
Imagination Unwired,,,,,,,
"Klink Mobile, Inc.",,,,,,,
MC Squared Holdings,,,,,,,
SUMO Communications ,,,,,,,
Celona,,,,,,,
SpaceX,,,,,,,
Patriot Mobile,,,,,,,
Network Capacity Solutions Inc.,,,,,,,
Bullhorn.fm,,,,,,,
Norcom Solutions,,,,,,,
Clearion,,,,,,,
Google,,,,,,,
EdgePresence,,,,,,,
Broadcast Depot,,,,,,,
XFactor Networks,,,,,,,
Dial Interactive,,,,,,,
WIS,,,,,,,
Ashlan LLC,,,,,,,
Legacy Wine & Spirits,,,,,,,
"Headsets Direct, Inc.",,,,,,,
MAXMedia Partners,,,,,,,
CentraCom,,,,,,,
Hamilton Gomez Communications ,,,,,,,
Tenebris Fiber,,,,,,,
Apollo Satellite Communications LLC,,,,,,,
"Home2US Communications, Inc.",,,,,,,
PERVASID LIMITED,,,,,,,
"Globetom, LLC",,,,,,,
Gravidy,,,,,,,
Media Partners Corporation,,,,,,,
Mercury Continuity Partners,,,,,,,
Socialmix,,,,,,,
Advance Tech Mex Corporation,,,,,,,
Staircase 3 Inc.,,,,,,,
ArmorText,,,,,,,
Safety Net Corp dba FiberTechs,,,,,,,
KCM Data Technology,,,,,,,
Enterprise Wireless Alliance,,,,,,,
Illumy Inc.,,,,,,,
Estruxture Data Centers,,,,,,,
thinQ,,,,,,,
InReturn Strategies,,,,,,,
Savvy,,,,,,,
Coscend Communications Solutions,,,,,,,
Innowave LLC,,,,,,,
Simplifi,,,,,,,
Wimax Communications Ltd.,,,,,,,
Orion Fleet Intelligence,,,,,,,
The Wrightway Sports Network,,,,,,,
Heritage Holding LLC,,,,,,,
M-I-Stimulus,,,,,,,
breekom,,,,,,,
Cloudonix.io,,,,,,,
Ricochet,,,,,,,
Laurelwood Consulting Group,,,,,,,
Go Vivace Inc.,,,,,,,
Backchannelmedia,,,,,,,
Rise Global Solutions LLC,,,,,,,
Innovation Journey,,,,,,,
"Connected Solutions Group, LLC",,,,,,,
Net-AV,,,,,,,
Comprehensive Telecom Advisors,,,,,,,
"Symplicity Communications, Inc.",,,,,,,
Spica Telecom,,,,,,,
"Mercury Communications, LLC",,,,,,,
ANDE,,,,,,,
CallForce LLC,,,,,,,
The Ironsides Group LLC,,,,,,,
PKE Consulting,,,,,,,
Innowi Inc.,,,,,,,
Aurenta Inc.,,,,,,,
On Your Team Business Solutions,,,,,,,
BoStrong Foundation,,,,,,,
TelePulse Technologies Corporation,,,,,,,
"Sequenza Technologies, Inc.",,,,,,,
Simple Wireless LLC,,,,,,,
Hopecam,,,,,,,
fast2fibre,,,,,,,
"TelecomBroker4u Inc.  ""Bringing Innovative Technology Solutions to Global Business""​",,,,,,,
SignalWire,,,,,,,
SimpleFiber Communications,,,,,,,
ATL Communications,,,,,,,
Coevolve,,,,,,,
TAMMIRA,,,,,,,
ClaimRide,,,,,,,
Zerix International,,,,,,,
Machfu Inc.,,,,,,,
Tembo Education,,,,,,,
"FreeFall 5G, Inc.",,,,,,,
BluLogix,,,,,,,
Fathers Mothers Who Care,,,,,,,
Burner (Ad Hoc Labs),,,,,,,
Telescent Inc.,,,,,,,
Unisol International,,,,,,,
EvoNexus,,,,,,,
"BlueTube, Inc.",,,,,,,
Clearly IP Inc,,,,,,,
Matrix Ovation Group,,,,,,,
R9 Technology,,,,,,,
"Dreamerz Island International, Inc",,,,,,,
"International Media Distribution (IMD), an NBCUniversal company",,,,,,,
NebraskaLink,,,,,,,
"NetSapiens, Inc.",,,,,,,
Efani,,,,,,,
Steam Ventures LLC,,,,,,,
Ravenhorse Farmz LLC,,,,,,,
Allvoi Communications Inc,,,,,,,
Mexcap,,,,,,,
Codecube,,,,,,,
IPgallery,,,,,,,
AT Technology Inc.,,,,,,,
10X People,,,,,,,
"The Jazoma Plan, LLC (WOSB)",,,,,,,
#PoDojo ,,,,,,,
Telin USA,,,,,,,
Livtech ,,,,,,,
Cloudlyte Inc.,,,,,,,
Park Bench Solutions,,,,,,,
Isotropic Systems,,,,,,,
Ten Pounds of Podcast,,,,,,,
RKS Design & Engineering LLC,,,,,,,
Haute Custom Beauty,,,,,,,
Matrix IBS,,,,,,,
Slappey Communications,,,,,,,
Skyloom Global Corp.,,,,,,,
High Speed Communications Inc.,,,,,,,
911inform,,,,,,,
EZ Biolink,,,,,,,
New Signature,,,,,,,
JMF Solutions,,,,,,,
Maas Telecom,,,,,,,
DNA Communications,,,,,,,
OPC Marketing and Spitfire Dialers,,,,,,,
"Simple Innovations Group, LLC",,,,,,,
Glimpse Corporation,,,,,,,
"G2, Inc.",,,,,,,
CBRS Alliance,,,,,,,
Digital Dumbo,,,,,,,
TinkerLink,,,,,,,
"Cima Group, Inc.",,,,,,,
SPK and Associates LLC,,,,,,,
Qypsys - Advanced Technology Deployment,,,,,,,
Flex Deployment Solutions,,,,,,,
Snip Internet LLC,,,,,,,
Volta Networks,,,,,,,
Astrapi Corporation,,,,,,,
QTS Data Centers,,,,,,,
Mimetrix Technologies,,,,,,,
Radius Communications Inc.,,,,,,,
Collaboration Squared,,,,,,,
NYDLA.org,,,,,,,
Global Telecom Supply,,,,,,,
Integer Telecom Services Inc.,,,,,,,
AirHop Communications,,,,,,,
Common Voices,,,,,,,
GotUrSix TV,,,,,,,
Women's Tech Forum,,,,,,,
Office Communications,,,,,,,
VCTI,,,,,,,
Agyle Networks,,,,,,,
Avtec Inc.,,,,,,,
Vista Tech Solutions,,,,,,,
Beowulf Chain,,,,,,,
"Field Squared, Inc.",,,,,,,
Evergreen Telecom Servicecs LLC,,,,,,,
"Cirrus Telecom, LLC",,,,,,,
Abis Solutions,,,,,,,
Alpha-Consult ,,,,,,,
"AWS Elemental, an Amazon Web Services Company",,,,,,,
Global Convergence Solutions,,,,,,,
Agnostic Networks,,,,,,,
The Marcum Group Ltd.,,,,,,,
Native Network Inc.,,,,,,,
R&N Marketing LLC,,,,,,,
49er Communications Inc.,,,,,,,
Petrichor Networks,,,,,,,
Broadband V.i. LLC,,,,,,,
Ivoire Talents,,,,,,,
CooperCraft Communications Inc.,,,,,,,
Hello Hello Miami LLC,,,,,,,
Point Broadband LLC,,,,,,,
Uniti Group Inc.,,,,,,,
Vision Designs,,,,,,,
ACREBroadband,,,,,,,
Centratel Answering Service,,,,,,,
Avelacom,,,,,,,
Ringblaze,,,,,,,
Gsm Club LLC,,,,,,,
MOX Networks,,,,,,,
Forma SafeHome,,,,,,,
Zoottle,,,,,,,
B-Yond,,,,,,,
"Tower Capital Advisors, LLC",,,,,,,
"NIC4, Inc.",,,,,,,
iSimply LLC,,,,,,,
"TelAuthority, LLC",,,,,,,
Datatel Solutions Inc,,,,,,,
Tower One Wireless Corp,,,,,,,
PhoneWagon,,,,,,,
Global Orphan Relief,,,,,,,
SynsorMed,,,,,,,
WirelessKonnect,,,,,,,
Digital Secure Inc.,,,,,,,
Metro Edge Solutions,,,,,,,
BWG Strategy LLC,,,,,,,
"Data Solutions Group, Incorporated",,,,,,,
RocNet Supply Inc.,,,,,,,
Blackpoint Technology,,,,,,,
RateMAX LLC,,,,,,,
Patriot Mobile,,,,,,,
"IPgallery Public Health, Smart City & Urban Mobility Solutions",,,,,,,
ALCASAGAR,,,,,,,
The M2 Group,,,,,,,
Frndly TV,,,,,,,
"Telesonic Voice and Data Solutions, Inc",,,,,,,
Schumacher Family,,,,,,,
"Seneweb,LLC",,,,,,,
Asociar,,,,,,,
Level365 Holdings LLC,,,,,,,
NanoFixit,,,,,,,
The LoRa Alliance,,,,,,,
Honest Networks,,,,,,,
Open One Solutions Inc. Www.openonesolutions.com,,,,,,,
Loyd Communication Systems Inc.,,,,,,,
FMC GlobalSat Inc.,,,,,,,
FiberRise,,,,,,,
OneRAN,,,,,,,
Unitas Global,,,,,,,
Digital Bridge Holdings LLC,,,,,,,
Thei3.io,,,,,,,
Aryaka Networks,,,,,,,
AWS Communications,,,,,,,
Layer 3 Global LLC,,,,,,,
Retail Aware,,,,,,,
"Nordicom Technologies, Inc.",,,,,,,
Halo Global,,,,,,,
Gridtential Energy,,,,,,,
Aerietau,,,,,,,
OpenCape Corporation,,,,,,,
"Digerati Technologies, Inc. (OTCQB: DTGI)",,,,,,,
Omnispace,,,,,,,
Netrality Data Centers,,,,,,,
Poikilon,,,,,,,
CloudLinear,,,,,,,
Optivity Now,,,,,,,
Grovf,,,,,,,
T2B eXperts,,,,,,,
Televergence Solutions Inc.,,,,,,,
APTelecom,,,,,,,
Rock Royalty 1/1 Custom Guitars,,,,,,,
AT&T,,,,,,,
Communications Consulting Group,,,,,,,
Logic Networks LLC,,,,,,,
Simetric Inc.,,,,,,,
PrestoTech Solutions,,,,,,,
Skyloom Global Corp.,,,,,,,
Clearfield,,,,,,,
Cogito Innovations,,,,,,,
Transseed Group of Companies,,,,,,,
Iovox,,,,,,,
Bergvik Group,,,,,,,
Knight Broadband,,,,,,,
Mosaic Telecom,,,,,,,
Roaming Networks Inc.,,,,,,,
"SIMpro, LLC",,,,,,,
Aeras Technologies,,,,,,,
WiCis,,,,,,,
Dallas Regional Chamber,,,,,,,
Teledrip LLC,,,,,,,
Augmented Intelligence,,,,,,,
Greyson Technologies Inc.,,,,,,,
In-Telecom Consulting,,,,,,,
Anova Financial Networks,,,,,,,
Bigleaf Networks,,,,,,,
Lit Communities,,,,,,,
Spinor,,,,,,,
Zthernet,,,,,,,
Genuine Products & People,,,,,,,
Ossia Inc.,,,,,,,
Cirrus Core Networks,,,,,,,
US Mobile,,,,,,,
Kajeet IoT,,,,,,,
GPSLockbox,,,,,,,
OnTarget Telecom,,,,,,,
Netly,,,,,,,
Weyland Tech Inc.,,,,,,,
CallEvo Outreach. Software. Solutions.,,,,,,,
Xclutel Communications,,,,,,,
XTAR,,,,,,,
Global Inter Xchange,,,,,,,
Scteisbe,,,,,,,
Subsidium Technologies Inc.,,,,,,,
M2nGage Telecommunications II Corp,,,,,,,
"Axiom Sales Kinetics, LLC",,,,,,,
HCI LLC,,,,,,,
Montana Internet,,,,,,,
Virtual Graffiti Inc.,,,,,,,
Neo,,,,,,,
"Doxy.me, LLC- Telemedicine for Everyone",,,,,,,
Bandwave Systems LLC,,,,,,,
Kumu Networks,,,,,,,
OP Digital,,,,,,,
Vitel Global Communication,,,,,,,
Havit Advertising,,,,,,,
WiConnect LLC,,,,,,,
LanYap Networks,,,,,,,
ChaseTek Partners LLC,,,,,,,
NewConnect LLC,,,,,,,
GoNetspeed,,,,,,,
Silver Tree Consulting & Services,,,,,,,
Kerauno,,,,,,,
GTSaaS,,,,,,,
CAS Group Ventures,,,,,,,
"Teliax, Inc",,,,,,,
Onsert Media Group,,,,,,,
Mojo Solutions & Services MSS LLC,,,,,,,
Cleareon,,,,,,,
Moscase Inc. Serial Entrepreneur.,,,,,,,
Enertech Resources LLC,,,,,,,
Prelude Solutions,,,,,,,
Intelligent Locations,,,,,,,
Greenlight Networks,,,,,,,
Seven Peaks Ventures,,,,,,,
Access Wisconsin,,,,,,,
TelcoBridges,,,,,,,
MitSix LLC,,,,,,,
"Espy Services, Inc.",,,,,,,
FoneLogix®,,,,,,,
Regis University College of Computer & Information Sciences,,,,,,,
Connected Analytics Inc.,,,,,,,
DartPoints,,,,,,,
Mach Networks,,,,,,,
Smart Texas Alliance,,,,,,,
BeyondEdge,,,,,,,
eWireless,,,,,,,
LGRS,,,,,,,
Stacytech Division of System Communications,,,,,,,
SensLynx LLC,,,,,,,
The John Maxwell Company,,,,,,,
Business Development Group,,,,,,,